Date,Sector,Price,Volume,%Change,Volatility
09 Feb 22,Communication Services,244.07,72.483,0,0
08 Feb 22,Communication Services,238.23,66.348,-0.023927562,0.016919341
07 Feb 22,Communication Services,238.47,72.406,0.00100743,0.017631702
04 Feb 22,Communication Services,243.93,75.081,0.022895962,0.015477529
03 Feb 22,Communication Services,243.58,112.38,-0.001434838,0.017204473
02 Feb 22,Communication Services,261.44,87.495,0.073322933,0.052861727
01 Feb 22,Communication Services,253.61,87.338,-0.02994951,0.073024645
31 Jan 22,Communication Services,250.41,121.121,-0.012617799,0.012255371
28 Jan 22,Communication Services,244.55,75.439,-0.023401621,0.007625314
27 Jan 22,Communication Services,237.62,85.625,-0.028337763,0.003490379
26 Jan 22,Communication Services,236.93,97.568,-0.002903796,0.017984531
25 Jan 22,Communication Services,238.81,85.553,0.007934833,0.007664068
24 Jan 22,Communication Services,244.27,110.739,0.022863364,0.010556066
21 Jan 22,Communication Services,243.22,102.89,-0.004298522,0.019206354
20 Jan 22,Communication Services,253.05,68.593,0.040416084,0.031618001
19 Jan 22,Communication Services,255.96,63,0.011499704,0.020446969
18 Jan 22,Communication Services,256.45,100.618,0.001914362,0.00677786
14 Jan 22,Communication Services,261.66,65.592,0.020315851,0.013011818
13 Jan 22,Communication Services,260.27,61.294,-0.005312237,0.018121795
12 Jan 22,Communication Services,263.96,53.076,0.014177585,0.013781385
11 Jan 22,Communication Services,263.02,52.899,-0.003561146,0.012543177
10 Jan 22,Communication Services,260.36,74.116,-0.010113299,0.004633072
07 Jan 22,Communication Services,260.3,81.766,-0.00023045,0.00698823
06 Jan 22,Communication Services,261.12,70.913,0.003150211,0.002390489
05 Jan 22,Communication Services,260.2,82.551,-0.003523284,0.004718874
04 Jan 22,Communication Services,268.08,71.131,0.030284397,0.02390564
03 Jan 22,Communication Services,268.97,66.73,0.003319905,0.019066775
31 Dec 21,Communication Services,267.48,47.943,-0.005539651,0.006264652
30 Dec 21,Communication Services,270.76,35.616,0.012262599,0.012588092
29 Dec 21,Communication Services,270.45,35.568,-0.001144925,0.009480551
28 Dec 21,Communication Services,271.28,36.276,0.003068959,0.002979666
27 Dec 21,Communication Services,272.06,46.343,0.002875258,0.000136967
23 Dec 21,Communication Services,269.61,47.685,-0.009005366,0.00840087
22 Dec 21,Communication Services,267.76,48.467,-0.006861763,0.001515756
21 Dec 21,Communication Services,265.69,60.274,-0.007730804,0.000614504
20 Dec 21,Communication Services,261.28,62.317,-0.016598291,0.006270261
17 Dec 21,Communication Services,262.92,228.043,0.006276791,0.016175126
16 Dec 21,Communication Services,264.73,87.142,0.006884223,0.000429519
15 Dec 21,Communication Services,266.27,73.277,0.005817248,0.000754466
14 Dec 21,Communication Services,262.95,83.432,-0.012468547,0.012930009
13 Dec 21,Communication Services,264.32,68.413,0.005210116,0.012500702
10 Dec 21,Communication Services,266.26,54.233,0.007339588,0.001505764
09 Dec 21,Communication Services,265.8,57.453,-0.001727635,0.006411495
08 Dec 21,Communication Services,267.86,67.357,0.007750188,0.006701833
07 Dec 21,Communication Services,265.87,74.196,-0.007429254,0.010733487
06 Dec 21,Communication Services,262.45,71.374,-0.012863429,0.003842542
03 Dec 21,Communication Services,258.65,80.133,-0.014478948,0.001142344
02 Dec 21,Communication Services,259.86,91.042,0.004678136,0.013546105
01 Dec 21,Communication Services,255.73,77.621,-0.015893173,0.014546113
30 Nov 21,Communication Services,260.9,152.989,0.020216635,0.02553349
29 Nov 21,Communication Services,268.96,65.908,0.030893062,0.007549374
26 Nov 21,Communication Services,265.98,42.526,-0.011079714,0.029679235
24 Nov 21,Communication Services,271.02,47.493,0.018948793,0.021233361
23 Nov 21,Communication Services,270.45,55.642,-0.002103166,0.014885983
